IdMin,IdMax,Index,TableOffset,Text 
2001,2022,2001,7752,"KG_OK"
2001,2022,2002,7764,"KG_Cancel"
2001,2022,2003,7784,"KG_L_U"
2001,2022,2004,7798,"KG_L_D"
2001,2022,2005,7812,"KG_L_L"
2001,2022,2006,7826,"KG_L_R"
2001,2022,2007,7840,"KG_L_UD"
2001,2022,2008,7856,"KG_L_LR"
2001,2022,2009,7872,"KG_L_UDLR"
2001,2022,2010,7892,"KG_R_U"
2001,2022,2011,7906,"KG_R_L"
2001,2022,2012,7920,"KG_L1"
2001,2022,2013,7932,"KG_R1"
2001,2022,2014,7944,"KG_L2"
2001,2022,2015,7956,"KG_R2"
2001,2022,2016,7968,"KG_L3"
2001,2022,2017,7980,"KG_R3"
2001,2022,2018,7992,"KG_LS"
2001,2022,2019,8004,"KG_RS"
2001,2022,2020,8016,"KG_TP_L"
2001,2022,2021,8032,"KG_TP_R"
2001,2022,2022,8048,"KG_Start"
2100,2100,2100,8066,"Profile"
2201,2204,2201,8082,"CN_TEX_Copyright"
2201,2204,2202,8116,"CN_TEX_R_mark"
2201,2204,2203,8144,"CN_TEX_TradeMark"
2201,2204,2204,8178,"CN_TEX_Dash"
3000,3000,3000,8202,"Set Controller vibration strength."
4101,4102,4101,8272,"Cannot connect to network. Returning to Title Menu."
4101,4102,4102,8376,"The connection to the DARK SOULS Ⅲ game server was lost. Returning to title menu."
4160,4161,4160,8540,"Connection to Steam interrupted. Returning to title menu."
4160,4161,4161,8656,"Frame rate unsuitable for online play. Returning to title menu."
4190,4193,4190,8784,"A network error occurred. Returning to title menu."
4190,4193,4191,8886,"Failed to save game. Save data is corrupted. Select "Yes" to try again. Select "No" to return to the title screen without saving."
4190,4193,4192,9150,"Failed to save game. Save data is corrupted. Returning to title screen."
4190,4193,4193,9296,"Failed to save game. Save data is corrupted."
100000,100011,100000,9386,"RB"
100000,100011,100001,9392,"LB"
100000,100011,100011,9398,"Character name"
101000,101000,101000,9428,"PRESS ANY BUTTON"
200100,200100,200100,9462,"Text includes unsupported characters. Unsupported characters will be replaced with asterisks (*)."
400003,400003,400003,9658,"At the end of the previous session, Quit Game might not have been selected from the system menu. Please use Quit Game from the system menu when you wish to end your play session. Failure to end session with Quit Game may result in loss of progress."
401102,401120,401102,10158,"Failed to create save data. Press "OK" to try again."
401102,401120,401103,10264,"Failed to load save data. Press "OK" to try again."
401102,401120,401106,10366,"Failed to save game. Save data is corrupted. Select "OK" to try again."
401102,401120,401107,10510,"The save data is corrupted. Delete corrupted data and create a new save?"
401102,401120,401110,10656,"Checking save data..."
401102,401120,401111,10700,"Creating save data..."
401102,401120,401112,10744,"Updating save data..."
401102,401120,401113,10788,"The game version and save data version are different. Quit the game and use the Steam client to update DARK SOULS Ⅲ to the latest version before trying again."
401102,401120,401114,11106,"Cannot load this profile as it is from a later version of the currently installed game. Quit the game and sign in to Steam to update DARK SOULS Ⅲ to the latest version."
401102,401120,401120,11444,"Checking network connection status..."
401150,401171,401150,11520,"Logging in to the DARK SOULS Ⅲ game server..."
401150,401171,401160,11612,"Retrieving data from the DARK SOULS Ⅲ game server..."
401150,401171,401165,11718,"Saving data to the DARK SOULS Ⅲ game server..."
401150,401171,401170,11812,"Starting in offline mode. To use online features, check to see  if your connection is set up properly,  and select Log In from title menu."
401150,401171,401171,12092,"Returning to title menu."
401201,401202,401201,12142,"Unable to connect to the network. Please check your network settings."
401201,401202,401202,12282,"Network status check failed."
401400,401400,401400,12340,"Unable to start in online mode due to a detected frame rate issue. Please restart the game after resolving the issue to play online."
401502,401507,401502,12608,"Your account is currently not permitted to access DARK SOULS Ⅲ game server services."
401502,401507,401503,12778,"Failed to log in to the DARK SOULS Ⅲ game server. Select "OK" to attempt to log in again."
401502,401507,401504,12958,"An update to the game is available. To use network features, please install the update and restart the game."
401502,401507,401505,13176,"Cannot log in to the DARK SOULS Ⅲ game server because it has been stopped or is undergoing maintenance."
401502,401507,401507,13384,"Cheating detected on your account by Valve Anti-Cheat. You may no longer utilize services provided by the DARK SOULS Ⅲ Servers."
401601,401601,401601,13640,"Failed to acquire information. Select "OK" to try again."
401701,401701,401701,13754,"Cannot create any more profiles. Delete an existing profile and create a new one? Note: You may create up to 10 profiles."
401721,401731,401721,14000,"Failed to load save data. Save data is corrupted."
401721,401731,401731,14100,"Failed to initialize character info for online play. Select "OK" to try again."
401991,401991,401991,14258,"An error has occurred. Returning to title menu."
600000,600050,600000,14354,"This Agreement was entered into at the launch of the Software. For the latest agreement, refer to the official website (http://www.darksouls.jp/). Terms of Use of Dark Souls III Online Services These Terms of Use ("this Agreement") signed between "Players" defined in this Agreement and FromSoftware, Inc. ("the Company") shall apply to any relationship involved in the use of online services ("the Services") of the game software "Dark Souls III" ("the Software") developed by the Company. Players shall use the Services in accordance with this Agreement. Players who do not agree to this Agreement may not use the Services. Players are deemed to have agreed to this Agreement upon the use of the Services."
600000,600050,600001,15774,"  Article 1 (Scope of and Changes to This Agreement) 1. The Company may, as the need arises, inform Players of separate conditions of use, matters to be noted, guidelines, and the like ("Individual Agreements") through posting on the official website (the "Website") run by the Company or any other means, in addition to this Agreement. Individual Agreements constitute part of this Agreement, and if the provisions of the Individual Agreements are inconsistent with this Agreement, the provisions of Individual Agreements shall prevail over the provisions of this Agreement. 2. The Company may change or amend this Agreement and Individual Agreements at any time as needed, and the Company may notify Players of the change or amendment by posting it on the Website or by any other method that the Company regards as reasonable. 3. If Players do not agree to the change or amendment to the provisions of this Agreement or Individual Agreements, the Company may cancel or suspend the use of the Services. 4. If Players conti 600000,600050,600002,18474,  Article 2 (Definition of Player) A Player means any customer who agrees to this Agreement. Players less than 20 years old shall be deemed to have obtained the consent of their guardian or parent by agreeing to this Agreement."
