IdMin,IdMax,Index,TableOffset,Text 
3000,3070,3000,6808,"Elementary sorcery. Fire soul arrow. Soul arrows inflict magic damage, making them effective against iron armor, tough scales, and other physically resilient materials."
3000,3070,3010,7148,"Sorcery which improves upon Soul Arrow. Fire strong soul arrow. At the Vinheim Dragon School, the acquisition of this spell marks an apprentice's coronation as a sorcerer. "
3000,3070,3020,7496,"Soul sorcery emphasizing power. Fire heavy soul arrow. A more powerful, but also slower sorcery. Difficult to use due to a long cool down and a limitation on the number of castings."
3000,3070,3030,7862,"Sorcery which improves upon Heavy Soul Arrow. Fire strong heavy soul arrow. As difficult to use as Heavy Soul Arrow, but powerful enough to make it well worth it. Adored by certain sorcerers."
3000,3070,3040,8248,"Sorcery developed by Big Hat Logan. Fire homing soulmass. Life originates in the soul; no wonder the soulmass draws toward it. This sorcery is a window into seeker Logan's methods."
3000,3070,3050,8612,"Sorcery boosted by the knowledge. Logan acquired at the Regal Archives. Fire homing crystal soulmass. The mysteries of souls, crystals, and the sorceries are deeply intertwined."
3000,3070,3060,8970,"Sorcery developed by Big Hat Logan. Fire piercing soul spear. A symbol of Logan's strength, the soul spear is referenced repeatedly in the legends, and is said to be on par with Lord Gwyn's lightning."
3000,3070,3070,9374,"Sorcery boosted by the knowledge. Logan acquired at the Regal Archives. Fire piercing crystal soul spear. These pale magic spears, sharpened through crystallization, are on par with the armaments of the ancient lords."
3100,3120,3100,9812,"Sorcery for casters who wield swords. Magic augmentation: right weapon. The power of the magic swordsmen of Vinheim is predicated upon this and Magic Shield. Many warriors learn sorcery just for this."
3100,3120,3110,10216,"Sorcery which improves upon Magic Weapon. High magic augmentation: right weapon. At Vinheim Dragon School, only magic swordsmen on special orders are allowed to learn this spell which grants powerful augmentation to various weapons."
3100,3120,3120,10684,"Sorcery boosted by the knowledge. Logan acquired at the Regal Archive. High magic + crystallization: right weapon Logan's trials were successful, and the crystal medium facilitated a stronger bond between weapon and soul."
3300,3310,3300,11130,"Sorcery for casters who wield swords. Magic augmentation: left shield. Shields augmented by magic are resistant to magic attacks and have higher stability. This spell makes it possible to challenge powerful foes with a small shield."
3300,3310,3310,11598,"Sorcery which improves upon Magic Shield. High magic augmentation: left shield. At Vinheim Dragon School, only magic swordsmen on special orders are allowed to learn this spell which grants temporary strength to greatshields."
